Project,Package,Class,Method,Smell,Description,Method start line no,File
tika,org.apache.tika.eval.core.textstats,CompositeTextStatsCalculator,calculate,Long Statement,The length of the statement "List<LanguageResult> langs=results.containsKey(LanguageIDWrapper.class) ? (List)results.get(LanguageIDWrapper.class) : languageIDWrapper.calculate(txt);" is 152.,88,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/textstats/CompositeTextStatsCalculator.java
tika,org.apache.tika.eval.core.textstats,CompositeTextStatsCalculator,tokenize,Complex Method,Cyclomatic complexity of the method is 8,119,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/textstats/CompositeTextStatsCalculator.java
tika,org.apache.tika.eval.core.textstats,TextProfileSignature,calculate,Complex Method,Cyclomatic complexity of the method is 11,46,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/textstats/TextProfileSignature.java
tika,org.apache.tika.eval.core.textstats,TextProfileSignature,calculate,Magic Number,The method contains a magic number: 2,46,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/textstats/TextProfileSignature.java
tika,org.apache.tika.eval.core.textstats,TextProfileSignature,calculate,Magic Number,The method contains a magic number: 2,46,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/textstats/TextProfileSignature.java
tika,org.apache.tika.eval.core.textstats,CommonTokensCosine,calculate,Magic Number,The method contains a magic number: 2,40,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/textstats/CommonTokensCosine.java
tika,org.apache.tika.eval.core.textstats,CommonTokensCosine,calcNorm,Magic Number,The method contains a magic number: 2,64,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/textstats/CommonTokensCosine.java
tika,org.apache.tika.eval.core.textstats,TopNTokens,calculate,Complex Conditional,The conditional expression queue.top() == null || queue.size() < topN || termFreq >= queue.top().getValue() is complex.,35,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/textstats/TopNTokens.java
tika,org.apache.tika.eval.core.tokens,LuceneTokenCounter,count,Complex Conditional,The conditional expression queue.top() == null || queue.size() < topN || tf >= queue.top().getValue() is complex.,63,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/tokens/LuceneTokenCounter.java
tika,org.apache.tika.eval.core.tokens,LuceneTokenCounter,count,Complex Method,Cyclomatic complexity of the method is 8,63,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/tokens/LuceneTokenCounter.java
tika,org.apache.tika.eval.core.tokens,LuceneTokenCounter,count,Magic Number,The method contains a magic number: 2.0,63,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/tokens/LuceneTokenCounter.java
tika,org.apache.tika.eval.core.tokens,TokenCounterTest,setUp,Magic Number,The method contains a magic number: 100000,40,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/tokens/TokenCounterTest.java
tika,org.apache.tika.eval.core.tokens,TokenCounterTest,testRandom,Magic Number,The method contains a magic number: 100,59,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/tokens/TokenCounterTest.java
tika,org.apache.tika.eval.core.tokens,TokenCounterTest,testCommonTokens,Magic Number,The method contains a magic number: 2,83,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/tokens/TokenCounterTest.java
tika,org.apache.tika.eval.core.tokens,TokenCounterTest,testCJKFilter,Magic Number,The method contains a magic number: 7,94,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/tokens/TokenCounterTest.java
tika,org.apache.tika.eval.core.tokens,TokenCounterTest,generateString,Magic Number,The method contains a magic number: 1000,115,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/tokens/TokenCounterTest.java
tika,org.apache.tika.eval.core.tokens,TokenCounterTest,generateString,Magic Number,The method contains a magic number: 10000,115,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/tokens/TokenCounterTest.java
tika,org.apache.tika.eval.core.tokens,TokenCounterTest,generateString,Magic Number,The method contains a magic number: 100000,115,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/tokens/TokenCounterTest.java
tika,org.apache.tika.eval.core.tokens,AnalyzerDeserializer,buildAnalyzer,Long Statement,The length of the statement "throw new IllegalArgumentException("Should have one of three values here:" + CHAR_FILTERS + "` "+ TOKENIZER+ "` "+ TOKEN_FILTERS+ ". I don't recognize: "+ k);" is 158.,60,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/AnalyzerDeserializer.java
tika,org.apache.tika.eval.core.tokens,AnalyzerDeserializer,buildTokenizerFactory,Long Statement,The length of the statement "throw new IllegalArgumentException("Expecting a map with \"factory\" string and " + "\"params\" map in tokenizer factory;" + " not: " + map.toString() + " in "+ analyzerName);" is 175.,86,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/AnalyzerDeserializer.java
tika,org.apache.tika.eval.core.tokens,AnalyzerDeserializer,buildTokenizerFactory,Long Statement,The length of the statement "factoryName=factoryName.startsWith("oala.") ? factoryName.replaceFirst("oala."`"org.apache.lucene.analysis.") : factoryName;" is 124.,86,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/AnalyzerDeserializer.java
tika,org.apache.tika.eval.core.tokens,AnalyzerDeserializer,buildCharFilters,Long Statement,The length of the statement "throw new IllegalArgumentException("Expecting a map with \"factory\" string and \"params\" map in char filter factory;" + " not: " + filterMap.toString() + " in "+ analyzerName);" is 178.,108,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/AnalyzerDeserializer.java
tika,org.apache.tika.eval.core.tokens,AnalyzerDeserializer,buildTokenFilterFactories,Long Statement,The length of the statement "throw new IllegalArgumentException("Expecting a map with \"factory\" string and \"params\" map in token filter factory;" + " not: " + filterMap.toString() + " in "+ analyzerName);" is 179.,140,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/AnalyzerDeserializer.java
tika,org.apache.tika.eval.core.tokens,AnalyzerDeserializer,buildTokenFilterFactories,Long Statement,The length of the statement "factoryName=factoryName.startsWith("oala.") ? factoryName.replaceFirst("oala."`"org.apache.lucene.analysis.") : factoryName;" is 124.,140,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/AnalyzerDeserializer.java
tika,org.apache.tika.eval.core.tokens,AnalyzerDeserializer,mapify,Complex Conditional,The conditional expression value.isObject() || value.isArray() || value.isNull() is complex.,179,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/AnalyzerDeserializer.java
tika,org.apache.tika.eval.core.tokens,CommonTokenResult,CommonTokenResult,Long Parameter List,The method has 5 parameters. ,28,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/CommonTokenResult.java
tika,org.apache.tika.eval.core.tokens,TokenStatistics,TokenStatistics,Long Parameter List,The method has 5 parameters. ,32,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenStatistics.java
tika,org.apache.tika.eval.core.tokens,TokenStatistics,doubleEquals,Magic Number,The method contains a magic number: 0.000000000001d,41,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenStatistics.java
tika,org.apache.tika.eval.core.tokens,TokenStatistics,toString,Long Statement,The length of the statement "return "TokenStatistics{" + "totalTokens=" + totalTokens + "` totalUniqueTokens="+ totalUniqueTokens+ "` topN="+ Arrays.toString(topN)+ "` entropy="+ entropy+ "` summaryStatistics="+ summaryStatistics+ '}';" is 206.,70,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenStatistics.java
tika,org.apache.tika.eval.core.tokens,TokenStatistics,equals,Complex Method,Cyclomatic complexity of the method is 15,77,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenStatistics.java
tika,org.apache.tika.eval.core.tokens,TokenStatistics,hashCode,Magic Number,The method contains a magic number: 32,134,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenStatistics.java
tika,org.apache.tika.eval.core.tokens,TokenStatistics,hashCode,Magic Number,The method contains a magic number: 31,134,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenStatistics.java
tika,org.apache.tika.eval.core.tokens,TokenStatistics,hashCode,Magic Number,The method contains a magic number: 32,134,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenStatistics.java
tika,org.apache.tika.eval.core.tokens,TokenStatistics,hashCode,Magic Number,The method contains a magic number: 31,134,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenStatistics.java
tika,org.apache.tika.eval.core.tokens,TokenStatistics,hashCode,Magic Number,The method contains a magic number: 31,134,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenStatistics.java
tika,org.apache.tika.eval.core.tokens,TokenStatistics,hashCode,Magic Number,The method contains a magic number: 32,134,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenStatistics.java
tika,org.apache.tika.eval.core.tokens,TokenStatistics,hashCode,Magic Number,The method contains a magic number: 31,134,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenStatistics.java
tika,org.apache.tika.eval.core.tokens,AlphaIdeographFilterFactory,isAlphabetic,Complex Conditional,The conditional expression !Character.isAlphabetic(cp) && !Character.isIdeographic(cp) && cp != UNDERSCORE is complex.,47,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/AlphaIdeographFilterFactory.java
tika,org.apache.tika.eval.core.tokens,TokenIntPair,hashCode,Magic Number,The method contains a magic number: 31,56,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenIntPair.java
tika,org.apache.tika.eval.core.tokens,CJKBigramAwareLengthFilterFactory,CJKBigramAwareLengthFilterFactory,Magic Number,The method contains a magic number: 3,43,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/CJKBigramAwareLengthFilterFactory.java
tika,org.apache.tika.eval.core.tokens,CJKBigramAwareLengthFilterFactory,CJKBigramAwareLengthFilterFactory,Magic Number,The method contains a magic number: 20,43,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/CJKBigramAwareLengthFilterFactory.java
tika,org.apache.tika.eval.core.tokens,CommonTokenCountManager,tryToLoad,Complex Method,Cyclomatic complexity of the method is 12,119,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/CommonTokenCountManager.java
tika,org.apache.tika.eval.core.tokens,CommonTokenCountManager,tryToLoad,Magic Number,The method contains a magic number: 2,119,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/CommonTokenCountManager.java
tika,org.apache.tika.eval.core.tokens,CommonTokenCountManager,tryToLoad,Magic Number,The method contains a magic number: 2,119,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/CommonTokenCountManager.java
tika,org.apache.tika.eval.core.tokens,TokenCounter,_add,Complex Conditional,The conditional expression queue.top() == null || queue.size() < topN || termFreq >= queue.top().getValue() is complex.,62,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenCounter.java
tika,org.apache.tika.eval.core.tokens,TokenCounter,_add,Magic Number,The method contains a magic number: 2.0,62,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenCounter.java
tika,org.apache.tika.eval.core.tokens,TokenContraster,add,Magic Number,The method contains a magic number: 2,92,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenContraster.java
tika,org.apache.tika.eval.core.tokens,TokenContraster,add,Magic Number,The method contains a magic number: 2,92,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenContraster.java
tika,org.apache.tika.eval.core.tokens,TokenContraster,addTokenDiff,Complex Conditional,The conditional expression queue.top() == null || queue.size() < topN || diff >= queue.top().diff is complex.,125,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenContraster.java
tika,org.apache.tika.eval.core.tokens,TokenContraster,addToken,Complex Conditional,The conditional expression queue.top() == null || queue.size() < topN || tokenCount >= queue.top().getValue() is complex.,132,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/main/java/org/apache/tika/eval/core/tokens/TokenContraster.java
tika,org.apache.tika.eval.core.metadata,TikaEvalMetadataFilterTest,testBasic,Magic Number,The method contains a magic number: 12,30,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/metadata/TikaEvalMetadataFilterTest.java
tika,org.apache.tika.eval.core.metadata,TikaEvalMetadataFilterTest,testBasic,Magic Number,The method contains a magic number: 11,30,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/metadata/TikaEvalMetadataFilterTest.java
tika,org.apache.tika.eval.core.metadata,TikaEvalMetadataFilterTest,testBasic,Magic Number,The method contains a magic number: 10,30,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/metadata/TikaEvalMetadataFilterTest.java
tika,org.apache.tika.eval.core.metadata,TikaEvalMetadataFilterTest,testBasic,Magic Number,The method contains a magic number: 9,30,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/metadata/TikaEvalMetadataFilterTest.java
tika,org.apache.tika.eval.core.metadata,TikaEvalMetadataFilterTest,testBasic,Magic Number,The method contains a magic number: 9,30,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/metadata/TikaEvalMetadataFilterTest.java
tika,org.apache.tika.eval.core.metadata,TikaEvalMetadataFilterTest,testBasic,Magic Number,The method contains a magic number: 0.0999,30,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/metadata/TikaEvalMetadataFilterTest.java
tika,org.apache.tika.eval.core.metadata,TikaEvalMetadataFilterTest,testBasic,Magic Number,The method contains a magic number: 0.1,30,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/metadata/TikaEvalMetadataFilterTest.java
tika,org.apache.tika.eval.core.metadata,TikaEvalMetadataFilterTest,testBasic,Magic Number,The method contains a magic number: 0.0196,30,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/metadata/TikaEvalMetadataFilterTest.java
tika,org.apache.tika.eval.core.metadata,TikaEvalMetadataFilterTest,testBasic,Magic Number,The method contains a magic number: 0.1,30,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-eval/tika-eval-core/src/test/java/org/apache/tika/eval/core/metadata/TikaEvalMetadataFilterTest.java
tika,org.apache.tika.sax.boilerpipe,BoilerpipeContentHandler,endDocument,Complex Conditional,The conditional expression isValidCharacterRun || (chars.length == 1 && ALLOWABLE_CHARS.contains(chars[0])) is complex.,199,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-handlers/tika-handler-boilerpipe/src/main/java/org/apache/tika/sax/boilerpipe/BoilerpipeContentHandler.java
tika,org.apache.tika.sax.boilerpipe,BoilerpipeContentHandler,endDocument,Complex Conditional,The conditional expression isValidCharacterRun && i == element.getCharacters().size() - 1 && !Character.isWhitespace(chars[chars.length - 1]) is complex.,199,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-handlers/tika-handler-boilerpipe/src/main/java/org/apache/tika/sax/boilerpipe/BoilerpipeContentHandler.java
tika,org.apache.tika.sax.boilerpipe,BoilerpipeContentHandler,endDocument,Complex Method,Cyclomatic complexity of the method is 15,199,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-handlers/tika-handler-boilerpipe/src/main/java/org/apache/tika/sax/boilerpipe/BoilerpipeContentHandler.java
tika,org.apache.tika.sax.boilerpipe,BoilerpipeContentHandler,endDocument,Long Statement,The length of the statement "if (isValidCharacterRun && i == element.getCharacters().size() - 1 && !Character.isWhitespace(chars[chars.length - 1])) {" is 121.,199,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-handlers/tika-handler-boilerpipe/src/main/java/org/apache/tika/sax/boilerpipe/BoilerpipeContentHandler.java
tika,org.apache.tika.fuzzing,TestTransformer,testBasic,Magic Number,The method contains a magic number: 100,33,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/test/java/org/apache/tika/fuzzing/TestTransformer.java
tika,org.apache.tika.fuzzing,TestFuzzingCLI,testMock,Long Statement,The length of the statement "String[] args=new String[]{"-i"`ProcessUtils.escapeCommandLine(inputDir.toAbsolutePath().toString())`"-o"`ProcessUtils.escapeCommandLine(outputDir.toAbsolutePath().toString())`"-n"`"8"`"-t"`"0"`"-p"`"10"`"-m"`"10000"`"-r"`"3"};" is 227.,45,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/test/java/org/apache/tika/fuzzing/TestFuzzingCLI.java
tika,org.apache.tika.fuzzing.general,Truncator,transform,Magic Number,The method contains a magic number: 2,41,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/general/Truncator.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,writeString,Complex Method,Cyclomatic complexity of the method is 10,266,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,writeString,Magic Number,The method contains a magic number: 0x0d,266,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,writeString,Magic Number,The method contains a magic number: 0x0a,266,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,prepareIncrement,Complex Conditional,The conditional expression object != null && cosObjectKey != null && !(object instanceof COSNumber) is complex.,316,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,addObjectToWrite,Complex Conditional,The conditional expression !writtenObjects.contains(object) && !objectsToWriteSet.contains(object) && !actualsAdded.contains(actual) is complex.,492,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,addObjectToWrite,Complex Conditional,The conditional expression actual != null && objectKeys.containsKey(actual) && object instanceof COSUpdateInfo && !((COSUpdateInfo)object).isNeedToBeUpdated() && cosBase instanceof COSUpdateInfo && !((COSUpdateInfo)cosBase).isNeedToBeUpdated() is complex.,492,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,addObjectToWrite,Long Statement,The length of the statement "if (actual != null && objectKeys.containsKey(actual) && object instanceof COSUpdateInfo && !((COSUpdateInfo)object).isNeedToBeUpdated() && cosBase instanceof COSUpdateInfo && !((COSUpdateInfo)cosBase).isNeedToBeUpdated()) {" is 223.,492,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,doWriteObject,Complex Conditional,The conditional expression obj == null || (obj instanceof COSObject && ((COSObject)obj).getObject() == null) is complex.,530,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,doWriteObject,Magic Number,The method contains a magic number: 2,530,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,runFilters,Magic Number,The method contains a magic number: 0.1,647,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,transformRawStream,Magic Number,The method contains a magic number: 10000000,680,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,runFilter,Magic Number,The method contains a magic number: 100000000,706,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,doWriteXRefInc,Magic Number,The method contains a magic number: 2,802,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,doWriteXRefTable,Magic Number,The method contains a magic number: 2,848,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,doWriteXRefTable,Magic Number,The method contains a magic number: 2,848,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,doWriteSignature,Long Statement,The length of the statement "throw new IOException("Can't write new byteRange '" + byteRange + "' not enough space: byteRange.length(): "+ byteRange.length()+ "` byteRangeLength: "+ byteRangeLength);" is 170.,889,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,doWriteSignature,Magic Number,The method contains a magic number: 2,889,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,doWriteSignature,Magic Number,The method contains a magic number: 3,889,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,doWriteSignature,Magic Number,The method contains a magic number: 0x20,889,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,getDataToSign,Long Statement,The length of the statement "return new SequenceInputStream(new RandomAccessInputStream(incrementalInput)`new COSFilterInputStream(incrementPart`range));" is 124.,936,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,writeExternalSignature,Magic Number,The method contains a magic number: 2,962,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,getXRefRanges,Magic Number,The method contains a magic number: 2,1013,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
tika,org.apache.tika.fuzzing.pdf,EvilCOSWriter,getXRefRanges,Magic Number,The method contains a magic number: 2,1013,/Users/surabhilone/Desktop/Thesis/SoftwareSystems/tika/tika-fuzzing/src/main/java/org/apache/tika/fuzzing/pdf/EvilCOSWriter.java
