project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,5,1.0,false,114,3,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.pipes.emitter.kafka,kafka,21265,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,8,1.0,false,144,4,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.pipes.emitter.azblob,azblob,21273,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,8,0.9166666666666666,false,167,3,9.504397630183328E-4,0,PACKAGE,.,.,org.apache.tika.pipes.emitter.s3,s3,21281,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,9,1.0,false,187,4,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.parser.mif,mif,25377,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,12,0.975,false,1078,11,9.80769379101623E-4,0,PACKAGE,.,.,org.apache.tika.parser.odf,odf,25385,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,1,0.3333333333333333,false,47,5,9.329758819943103E-4,0,PACKAGE,.,.,org.apache.tika.parser.pdf.xmpschemas,xmpschemas,21290,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,8,1.0,false,126,2,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.parser.video,video,25421,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,10,1.0,false,401,7,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.parser.dbf,dbf,25429,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,3,1.0,false,111,1,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.woodstox,woodstox,4956,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.4,false,PACKAGE,3,8,0.85,false,443,5,0.017843392228262794,0,PACKAGE,.,.,org.apache.tika.metadata.writefilter,writefilter,21343,container
